"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum brightness in mag","Relative velocity in km/s","CAI Index"
"2024UC3","2024-11-10 23:26","4229631","0.028273","11.003","22 - 50*","25.4","20.7","6.6","2.463"
"2024UZ","2024-11-10 04:35","6286629","0.042024","16.354","15 - 30*","26.3","20.2","4.9","3.141"
"2024VL2","2024-11-09 17:03","3103969","0.020749","8.075","21 - 50*","25.5","18.8","6.8","2.280"
"2024UU4","2024-11-09 06:55","7447514","0.049784","19.374","12 - 27*","26.8","22.3","5.7","3.704"
"2024VE","2024-11-09 01:53","2115325","0.014140","5.503","17 - 40*","25.9","18.3","10.4","2.418"
"2024UU9","2024-11-09 01:06","5547628","0.037084","14.432","13 - 29*","26.6","21.8","8.8","3.609"
"2024VJ2","2024-11-08 21:59","1718773","0.011489","4.471","13 - 28*","26.6","17.6","12.6","2.774"
"2024UK9","2024-11-08 20:44","1628904","0.010889","4.238","10 - 22*","27.1","17.8","4.4","2.444"
"2024UK13","2024-11-08 03:36","3977102","0.026585","10.346","13 - 29*","26.6","21.2","10.0","3.373"
"2024VS","2024-11-08 03:31","1293611","0.008647","3.365","9 - 19*","27.4","19.1","11.8","3.024"
"2024VY","2024-11-08 02:53","842596","0.005632","2.192","16 - 30*","26.2","15.9","18.6","1.976"
"2024VR2","2024-11-08 02:04","3691038","0.024673","9.602","24 - 50*","25.3","19.1","8.0","2.342"
"2024VX1","2024-11-07 20:15","2660218","0.017782","6.920","10 - 22*","27.2","19.1","11.9","3.479"
"2024VF2","2024-11-07 16:12","1304451","0.008720","3.393","11 - 24*","27.0","17.7","8.9","2.617"
"2020VE5","2024-11-07 05:53","4320300","0.028879","11.239","9 - 20*","27.4","21.1","5.6","3.625"
"2024VB2","2024-11-07 03:29","622050","0.004158","1.618","19 - 40*","25.8","16.0","18.1","1.467"
"2024VC","2024-11-07 01:40","686650","0.004590","1.786","10 - 21*","27.2","17.1","4.8","1.839"
"2024VM1","2024-11-06 23:45","310312","0.002074","0.807","9 - 21*","27.3","15.2","8.6","1.565"
"2024UT11","2024-11-06 19:31","1792800","0.011984","4.664","17 - 40*","25.9","18.0","12.1","2.358"
"2024VK2","2024-11-06 15:40","2197924","0.014692","5.718","15 - 30*","26.2","19.1","8.4","2.549"
"2003WE","2024-11-06 15:36","5473263","0.036587","14.238","30 - 70*","24.6","19.7","7.7","2.171"
"2024UW","2024-11-06 12:16","655517","0.004382","1.705","8 - 17*","27.7","18.5","4.7","2.052"
"2024VA2","2024-11-06 07:08","1234610","0.008253","3.212","13 - 29*","26.5","17.9","16.6","2.527"
"2024VC2","2024-11-06 05:44","2102936","0.014057","5.471","20 - 50*","25.6","17.9","8.1","2.073"
"2024UD6","2024-11-06 02:00","3143041","0.021010","8.177","9 - 21*","27.2","21.1","5.7","3.273"
"2024VS1","2024-11-05 17:54","5544953","0.037066","14.425","19 - 40*","25.7","19.4","17.7","3.333"
"2024UH5","2024-11-05 11:55","621837","0.004157","1.618","12 - 28*","26.7","16.8","6.9","1.625"
"2024UO11","2024-11-05 09:27","4545465","0.030385","11.825","8 - 19*","27.5","20.3","6.5","3.829"
"2024TD22","2024-11-05 05:59","3075329","0.020557","8.000","40 - 90*","24.1","19.7","11.9","1.598"
"2024UT7","2024-11-05 02:31","1027085","0.006866","2.672","50 - 110*","23.7","15.1","8.3","0.244"
"2024UX6","2024-11-05 01:35","6591295","0.044060","17.147","30 - 70*","24.8","20.8","14.7","2.762"
"2024VO","2024-11-04 21:17","287814","0.001924","0.749","1.7 - 4*","31.0","19.6","3.1","2.851"
"2024VO1","2024-11-04 16:50","2581601","0.017257","6.716","10 - 23*","27.0","19.0","8.3","3.192"
"2024UF2","2024-11-04 15:00","7472134","0.049948","19.438","40 - 80*","24.3","19.8","12.8","2.494"
"2023VS","2024-11-04 14:53","5796388","0.038746","15.079","3 - 7*","29.7","25.9","4.3","5.008"
"2024VP1","2024-11-04 10:16","1284544","0.008587","3.342","6 - 13*","28.4","19.3","9.0","3.483"
"2022UL1","2024-11-04 07:35","7332590","0.049015","19.075","23 - 50*","25.3","20.1","5.2","2.727"
"2024UE11","2024-11-03 20:08","889978","0.005949","2.315","6 - 12*","28.4","19.1","8.3","3.158"
"2024UU11","2024-11-03 19:59","416725","0.002786","1.084","7 - 15*","28.0","17.5","18.0","2.514"
"2020VX1","2024-11-03 19:13","7440644","0.049738","19.357","70 - 150*","22.9","17.8","7.8","1.589"
"2024TX13","2024-11-03 19:07","715141","0.004780","1.860","30 - 70*","24.5","15.4","7.6","0.366"
"2024VQ1","2024-11-03 16:33","2230074","0.014907","5.801","18 - 40*","25.9","18.8","27.0","2.708"
"2024UV6","2024-11-03 08:18","6658591","0.044510","17.322","11 - 24*","26.9","21.7","7.4","3.898"
"2024VA","2024-11-03 04:14","458405","0.003064","1.193","8 - 17*","27.7","16.5","12.8","2.313"
