"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2007 JB21)","1910-May-09 08:37 ±    01:34","0.00117","0.00042","7.70","7.40","25.4","22 m -   49 m","2"
"152680 (1998 KJ9)","1914-Dec-31 12:00 ± < 00:01","0.00156","0.00156","21.10","21.02","19.5","330 m -  750 m","4"
"458732 (2011 MD5)","1918-Sep-17 22:24 ±    00:02","0.00234","0.00234","12.99","12.90","17.8","730 m -  1.6 km","4"
"(2024 FQ5)","1919-Apr-02 00:54 ±    01:28","0.00075","0.00011","7.48","6.98","31.0","1.7 m -  3.8 m","0"
"(2023 VC7)","1920-Jun-21 18:25 ±    04:19","0.00181","0.00142","9.15","8.99","25.9","18 m -   40 m","2"
"(2017 LD)","1922-Jun-07 23:27 ± 5_23:44","0.00035","0.00006","5.96","4.49","27.5","8.4 m -   19 m","2"
"(2021 MK1)","1923-Jun-26 01:07 ± 1_00:04","0.00247","0.00183","10.53","10.43","21.3","140 m -  320 m","3"
"163132 (2002 CU11)","1925-Aug-30 23:38 ± < 00:01","0.00232","0.00231","26.48","26.43","18.6","0.460±0.017 km","4"
"(2023 CN1)","1926-Feb-06 17:41 ± 2_21:24","0.00100","0.00071","9.30","9.01","26.2","15 m -   34 m","2"
"(2024 HC)","1928-Mar-20 02:05 ± 6_23:38","0.00120","0.00110","2.82","1.88","27.4","8.6 m -   19 m","1"
"(2022 SU7)","1931-Oct-01 08:44 ±    14:16","0.00223","0.00217","5.13","4.90","28.3","5.8 m -   13 m","0"
"(2015 UM52)","1933-Oct-22 08:23 ± 4_15:22","0.00169","0.00120","7.75","7.55","27.8","7.3 m -   16 m","0"
"(2015 DD54)","1935-Mar-08 09:19 ± 1_14:51","0.00123","0.00122","6.92","6.60","25.4","22 m -   49 m","2"
"(2010 VB1)","1936-Jan-06 12:08 ± < 00:01","0.00142","0.00142","8.05","7.81","23.3","58 m -  130 m","3"
"(2018 RW)","1938-Jun-21 02:53 ± 3_16:34","0.00070","0.00012","6.43","5.81","30.6","2.0 m -  4.5 m","0"
"(2016 VA)","1938-Nov-02 05:57 ±    22:18","0.00148","0.00107","21.12","21.03","27.6","8.0 m -   18 m","1"
"(2023 VV1)","1938-Nov-14 13:19 ± 2_08:05","0.00055","1.1e-6","4.62","3.41","28.9","4.3 m -  9.7 m","1"
"(2007 RJ1)","1940-Sep-16 04:48 ± 4_22:50","0.00168","0.00155","9.79","9.62","25.2","24 m -   54 m","2"
"(2014 AW32)","1941-Jan-10 12:49 ±    05:23","0.00094","0.00070","12.42","12.19","27.5","8.4 m -   19 m","1"
"(2023 FY3)","1942-Sep-11 11:17 ± 9_20:03","0.00221","0.00137","1.70","0.68","29.0","4.2 m -  9.3 m","0"
"(2022 BY39)","1944-Aug-12 02:27 ± 6_09:07","0.00152","0.00052","3.11","2.48","29.9","2.7 m -  6.1 m","0"
"(2017 BX)","1948-Jan-24 19:01 ± 8_14:44","0.00253","0.00045","7.48","7.33","28.0","6.7 m -   15 m","0"
"(2003 YS70)","1949-Jan-01 04:06 ± 1_02:26","0.00173","0.00161","3.64","3.19","29.1","4.0 m -  9.0 m","0"
"(2009 UU1)","1952-Oct-23 04:42 ± 9_02:05","0.00174","0.00174","10.99","10.85","24.7","31 m -   68 m","2"
"(2019 GK21)","1953-Apr-10 05:24 ±    03:16","0.00135","0.00133","9.33","9.11","25.7","19 m -   43 m","2"
"(2024 TQ9)","1953-Oct-08 04:29 ± 5_11:17","0.00192","0.00186","7.14","6.94","30.8","1.9 m -  4.2 m","0"
"(2013 RZ53)","1954-Mar-13 00:10 ±    02:53","0.00069","0.00069","3.04","1.24","31.1","1.6 m -  3.6 m","0"
"(2015 LR21)","1955-Jun-19 01:25 ±    00:18","0.00152","0.00141","14.00","13.88","26.6","13 m -   28 m","1"
"(2015 KE)","1955-Sep-17 22:35 ± 8_03:19","0.00158","0.00003","3.58","3.07","26.2","15 m -   34 m","1"
"(2024 UQ1)","1956-Oct-27 13:12 ± 8_14:00","0.00239","0.00044","6.56","6.39","27.7","7.6 m -   17 m","0"
"(2019 CD2)","1957-Feb-01 12:15 ± < 00:01","0.00050","0.00050","19.90","19.63","20.0","260 m -  590 m","5"
"(2010 XW58)","1957-Dec-10 07:06 ±    00:06","0.00041","0.00040","7.29","6.32","24.9","28 m -   62 m","3"
"(2022 LV)","1958-Jun-22 20:06 ± 2_03:37","0.00230","0.00042","3.94","3.63","25.9","17 m -   39 m","1"
"(2012 BX34)","1959-Jan-27 10:34 ±    00:25","0.00137","0.00103","9.60","9.39","27.6","8.0 m -   18 m","1"
"(2018 VX1)","1959-Nov-11 17:49 ±    20:53","0.00247","0.00223","6.00","5.81","27.5","8.4 m -   19 m","0"
"(2004 UH1)","1960-Oct-24 15:34 ±    02:50","0.00123","0.00104","11.79","11.61","28.1","6.4 m -   14 m","0"
"(2022 KW4)","1961-May-31 17:25 ± 7_02:12","0.00236","0.00236","5.48","5.27","28.2","6.1 m -   14 m","0"
"(2023 VW)","1964-Nov-07 11:34 ± 7_16:00","0.00170","0.00169","8.21","8.01","28.0","6.7 m -   15 m","0"
"(2005 VL1)","1965-Oct-27 17:18 ±    02:05","0.00228","0.00180","6.72","6.55","26.4","14 m -   30 m","1"
"(2008 GD110)","1968-Apr-23 01:35 ±    17:06","0.00061","0.00040","9.03","8.53","24.5","33 m -   75 m","3"
"(2010 JR34)","1968-May-15 16:11 ± 2_16:12","0.00236","0.00235","4.63","4.37","27.7","7.7 m -   17 m","0"
"(2014 YW14)","1968-Dec-28 03:57 ± 1_09:08","0.00159","0.00153","8.64","8.44","27.6","8.0 m -   18 m","0"
"(2019 DS1)","1970-Feb-26 13:57 ± < 00:01","0.00242","0.00240","10.53","10.42","25.6","20 m -   45 m","1"
"(2016 CE)","1971-Feb-04 22:54 ±    19:24","0.00212","0.00149","8.34","8.19","28.5","5.3 m -   12 m","0"
"(2024 EN)","1971-Mar-19 23:06 ±    01:22","0.00091","0.00049","11.90","11.65","24.4","34 m -   77 m","3"
"612358 (2002 JE9)","1971-Apr-11 02:36 ±    00:11","0.00176","0.00167","13.22","13.10","21.4","140 m -  310 m","4"
"(2021 JY3)","1971-May-20 13:46 ± 2_17:08","0.00144","0.00135","4.54","4.11","28.4","5.4 m -   12 m","0"
"(2021 RP2)","1972-Mar-17 13:36 ±    02:48","0.00061","0.00022","5.36","4.47","30.3","2.3 m -  5.2 m","0"
"(2023 FN13)","1972-Apr-15 02:11 ±    05:10","0.00117","0.00058","5.11","4.64","27.2","9.6 m -   21 m","1"
"(2021 LF6)","1972-Dec-22 21:42 ±    00:49","0.00251","0.00240","2.11","1.52","28.5","5.2 m -   12 m","0"
"(2023 EN)","1975-Mar-09 08:02 ±    18:14","0.00094","0.00094","12.79","12.56","28.1","6.4 m -   14 m","1"
"(2021 LD6)","1975-Jul-01 22:43 ±    05:31","0.00079","0.00053","3.91","2.92","27.2","9.7 m -   22 m","1"
"(2013 UG1)","1976-Oct-17 04:21 ± < 00:01","0.00219","0.00219","14.22","14.13","22.6","81 m -  180 m","3"
"(2022 QX4)","1977-Sep-05 01:47 ±    00:07","0.00086","0.00085","9.43","9.10","24.7","31 m -   68 m","3"
"(2014 WX202)","1979-Sep-02 00:16 ±    00:15","0.00224","0.00220","1.79","0.91","29.6","3.2 m -  7.1 m","0"
"(2018 RY1)","1980-Oct-15 14:08 ± < 00:01","0.00116","0.00116","8.28","8.00","24.6","32 m -   71 m","3"
"(2023 XR14)","1980-Dec-12 04:53 ±    00:26","0.00255","0.00252","10.41","10.31","28.3","5.7 m -   13 m","0"
"(2012 TY52)","1982-Nov-04 08:07 ±    00:03","0.00210","0.00209","15.35","15.27","21.3","150 m -  330 m","3"
"(2016 TB57)","1984-Jan-10 00:58 ±    00:20","0.00197","0.00196","2.79","2.25","26.1","16 m -   36 m","1"
"(2021 OD1)","1985-Jul-31 10:49 ±    12:10","0.00184","0.00081","7.83","7.64","28.3","5.9 m -   13 m","0"
"(2019 VC37)","1985-Nov-01 04:21 ± 1_15:05","0.00170","0.00131","5.89","5.62","29.7","3.1 m -  6.9 m","0"
"(2024 RV30)","1987-Aug-28 23:53 ± 9_01:37","0.00257","0.00255","3.90","3.63","27.4","9.0 m -   20 m","0"
"(2010 UK)","1988-Oct-15 21:41 ± 1_03:59","0.00245","0.00210","6.31","6.13","26.8","12 m -   26 m","1"
"(2003 SW130)","1990-Sep-19 01:02 ±    01:00","0.00138","0.00118","9.01","8.79","29.1","4.0 m -  9.0 m","0"
"(1991 BA)","1991-Jan-18 17:19 ±    00:02","0.00112","0.00093","17.89","17.76","28.6","5.1 m -   11 m","0"
"(2012 UE34)","1991-Apr-08 15:50 ± < 00:01","0.00220","0.00220","5.73","5.52","23.3","58 m -  130 m","3"
"(2024 RC42)","1992-Sep-12 01:26 ±    10:55","0.00042","0.00036","8.25","7.43","32.4","0.89 m -  2.0 m","0"
"(2020 HN3)","1992-Oct-21 21:42 ± 1_22:43","0.00228","0.00219","4.41","4.14","29.4","3.5 m -  7.8 m","0"
"(1993 KA2)","1993-May-20 20:38 ± < 00:01","0.00100","0.00099","24.05","23.94","29.0","4.2 m -  9.4 m","0"
"(1994 ES1)","1994-Mar-15 17:16 ± < 00:01","0.00113","0.00113","18.66","18.54","28.5","5.3 m -   12 m","0"
"(2019 UU1)","1994-Apr-16 07:53 ±    04:16","0.00126","0.00081","7.75","7.47","30.4","2.2 m -  4.9 m","0"
"(1994 XM1)","1994-Dec-09 18:55 ±    00:02","0.00070","0.00069","11.32","10.98","28.2","6.1 m -   14 m","1"
"(2013 EC20)","1999-Mar-12 23:19 ± 1_16:25","0.00209","0.00070","3.13","2.69","29.0","4.2 m -  9.4 m","0"
"(2001 BA16)","2001-Jan-15 20:30 ±    00:01","0.00205","0.00204","5.10","4.84","26.0","17 m -   38 m","1"
"(2017 VW13)","2001-Nov-08 10:53 ± 1_04:02","0.00080","0.00079","11.37","11.08","20.6","200 m -  440 m","4"
"(2002 MN)","2002-Jun-14 02:03 ±    00:02","0.00080","0.00080","10.57","10.26","23.7","48 m -  110 m","3"
"(2002 XV90)","2002-Dec-11 08:24 ±    00:03","0.00079","0.00078","8.01","7.57","25.3","23 m -   52 m","2"
"(2003 HW10)","2003-Apr-29 06:24 ± < 00:01","0.00221","0.00220","13.31","13.22","27.0","11 m -   24 m","1"
"(2003 SW130)","2003-Sep-19 05:39 ± < 00:01","0.00108","0.00108","9.09","8.82","29.1","4.0 m -  9.0 m","0"
"(2003 SQ222)","2003-Sep-27 22:56 ± < 00:01","0.00056","0.00056","15.43","15.12","30.1","2.5 m -  5.7 m","0"
"(2003 UM3)","2003-Oct-12 01:57 ±    21:18","0.00185","0.00151","12.89","12.78","28.1","6.4 m -   14 m","0"
"(2003 XJ7)","2003-Dec-06 19:04 ± < 00:01","0.00099","0.00099","16.93","16.77","26.4","14 m -   31 m","2"
"(2004 FH)","2004-Mar-18 22:09 ± < 00:01","0.00033","0.00033","8.00","6.91","26.4","14 m -   31 m","3"
"(2004 FY15)","2004-Mar-27 20:22 ± < 00:01","0.00160","0.00159","8.57","8.38","26.1","16 m -   36 m","1"
